artist,album_type,track_name,release_date,release_year,popularity,duration_ms,explicit,disc_number,track_number,song_age_years,staying_index
TXT,album,New Rules,2019-10-21,2019,55,174106,False,1,1,6,7.857142857142857
TXT,single,Nap of a star,2019-03-04,2019,55,243013,False,1,5,6,7.857142857142857
BTS,single,A Brand New Day (BTS World Original Soundtrack) (Pt. 2),2019-06-14,2019,55,205019,False,1,1,6,7.857142857142857
TXT,album,Dear Sputnik,2021-05-31,2021,55,194912,False,1,7,4,11.0
TXT,album,20cm,2019-10-21,2019,55,217026,False,1,7,6,7.857142857142857
TXT,album,Growing Pain,2023-10-13,2023,55,200543,False,1,1,2,18.33333333333333
TXT,album,Skipping Stones,2023-10-13,2023,55,200847,False,1,7,2,18.33333333333333
Blackpink,single,Hope Not,2019-04-05,2019,55,191030,False,1,4,6,7.857142857142857
BTS,album,MAMA,2016-10-10,2016,55,212275,False,1,8,9,5.5
BTS,album,Interlude: Wings,2016-10-10,2016,55,144313,False,1,15,9,5.5
BTS,album,Intro: Serendipity,2017-09-18,2017,55,139971,False,1,1,8,6.111111111111111
aespa,album,Trick or Trick,2023-11-10,2023,54,175440,False,1,2,2,18.0
TXT,single,Eternally,2020-05-18,2020,54,217374,False,1,6,5,9.0
aespa,single,Welcome To MY World (feat. nævis),2023-05-02,2023,54,206920,False,1,1,2,18.0
aespa,single,YEPPI YEPPI,2021-10-05,2021,54,213560,False,1,4,4,10.8
BTS,album,ON,2022-06-10,2022,54,246817,False,1,15,3,13.5
TXT,single,Blue Orangeade,2019-03-04,2019,54,185520,False,1,1,6,7.714285714285714
TXT,album,Frost,2021-05-31,2021,54,194771,False,1,8,4,10.8
TXT,album,Magic,2021-05-31,2021,54,159749,False,1,3,4,10.8
BTS,album,First Love,2016-10-10,2016,54,189795,False,1,6,9,5.4
TXT,album,Magic Island,2019-10-21,2019,53,192920,False,1,6,6,7.571428571428571
TXT,single,Wishlist,2020-10-26,2020,53,191788,False,1,4,5,8.833333333333334
TXT,single,Trust Fund Baby,2022-05-09,2022,53,156364,False,1,3,3,13.25
